"","obese","gender","age","marriage","min"
"485",0,1,39,1,240
"486",0,0,54,1,120
"487",0,1,35,1,420
"488",1,1,55,1,120
"489",1,0,54,1,360
"490",0,1,72,1,360
"491",1,1,46,3,360
"492",0,0,21,1,240
"493",0,0,66,2,600
"494",0,0,62,3,720
"495",0,0,27,1,480
"496",0,0,52,3,360
"497",0,0,80,2,480
"498",0,1,77,2,720
"499",0,0,50,3,360
"500",0,1,20,5,120
